name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Hotel Suprabhatha - BTM,No,No,4.1/5,319,JP Nagar,Desserts,Andhra,200,Desserts,JP Nagar
Punjabi Dhaba - HSR Layout,No,Yes,4.2/5,3363,Basavanagudi,Café,Street Food,500,Café,Basavanagudi
Vidyarthi Bhavan - Indiranagar,Yes,No,NEW,0,HSR Layout,Fine Dining,Biryani,1000,Fine Dining,HSR Layout
The Fatty Bao - MG Road,No,Yes,NEW,0,Electronic City,Mess,Beverages,150,Mess,Electronic City
Kanti Sweets - Bellandur,Yes,No,3.9/5,4709,KR Puram,Desserts,Continental,150,Desserts,KR Puram
Dindigul Thalappakatti - Indiranagar,Yes,No,4.3/5,4725,Electronic City,Beverage Shop,Continental,150,Beverage Shop,Electronic City
Brahmin's Coffee Bar - KR Puram,Yes,No,4.3/5,2716,Sarjapur Road,Delivery,Burgers,350,Delivery,Sarjapur Road
Sri Sairam Vegetarian - Malleshwaram,Yes,No,2.5/5,3338,Indiranagar,Bar,Bengali,750,Bar,Indiranagar
Domino's Pizza - Rajajinagar,Yes,No,3.7/5,244,JP Nagar,Bar,Beverages,500,Bar,JP Nagar
Pizza Hut - Hebbal,No,No,3.6/5,2719,BTM,Lounge,Gujarati,1150,Lounge,BTM
Dindigul Thalappakatti - MG Road,Yes,No,4.2/5,869,BTM,Mess,Rolls,100,Mess,BTM
Absolute Barbecues - Jayanagar,No,No,3.7/5,1459,Electronic City,Sweet Shop,Andhra,300,Sweet Shop,Electronic City
Kanti Sweets - Hebbal,Yes,No,4.2/5,4109,Whitefield,Delivery,Continental,300,Delivery,Whitefield
Byg Brewski - Basavanagudi,Yes,Yes,3.3/5,670,Rajajinagar,Bakery,Desserts,300,Bakery,Rajajinagar
Wow Momo - Electronic City,Yes,No,4.0/5,4736,Shivajinagar,Fine Dining,Mughlai,700,Fine Dining,Shivajinagar
Barbeque Nation - Jayanagar,Yes,No,4.3/5,685,Indiranagar,Dhaba,North Indian,200,Dhaba,Indiranagar
Domino's Pizza - Rajajinagar,Yes,Yes,NEW,0,BTM,Pub,Gujarati,350,Pub,BTM
Starbucks - Rajajinagar,Yes,No,5.0/5,1011,Banashankari,Dhaba,Fast Food,300,Dhaba,Banashankari
Keventers - MG Road,Yes,No,4.4/5,1384,JP Nagar,Beverage Shop,Biryani,200,Beverage Shop,JP Nagar
Punjabi Dhaba - Shivajinagar,Yes,Yes,NEW,0,Koramangala,Bar,Fast Food,950,Bar,Koramangala
Byg Brewski - Shivajinagar,No,No,NEW,0,HSR Layout,Fine Dining,North Indian,800,Fine Dining,HSR Layout
Rajadhani - Rajajinagar,Yes,No,3.8/5,1317,Whitefield,Pub,Cafe Food,450,Pub,Whitefield
Dindigul Thalappakatti - Basavanagudi,Yes,Yes,3.9/5,3126,Yelahanka,Lounge,North Indian,1000,Lounge,Yelahanka
Brahmin's Coffee Bar - Yelahanka,Yes,No,4.1/5,566,Indiranagar,Sweet Shop,Beverages,200,Sweet Shop,Indiranagar
Natural Ice Cream - Indiranagar,No,No,4.5/5,3917,Hebbal,Casual Dining,Pizza,50,Casual Dining,Hebbal
Starbucks - Marathahalli,No,No,3.5/5,1465,Bellandur,Dhaba,Continental,250,Dhaba,Bellandur
MTR - Sarjapur Road,Yes,No,NEW,0,Yelahanka,Desserts,Cafe Food,250,Desserts,Yelahanka
Cream Stone - Basavanagudi,Yes,No,3.2/5,1207,KR Puram,Food Court,Continental,400,Food Court,KR Puram
Shivaji Military Hotel - Electronic City,Yes,No,3.6/5,3570,Hebbal,Quick Bites,Burgers,150,Quick Bites,Hebbal
Keventers - Sarjapur Road,No,No,3.9/5,2465,Electronic City,Delivery,Rajasthani,300,Delivery,Electronic City
Brahmin's Coffee Bar - Hebbal,No,No,4.0/5,4144,Hebbal,Dhaba,Street Food,250,Dhaba,Hebbal
Empire Restaurant - Whitefield,Yes,No,3.5/5,4348,JP Nagar,Pub,South Indian,750,Pub,JP Nagar
Absolute Barbecues - Banashankari,Yes,Yes,3.6/5,3926,JP Nagar,Lounge,Chinese,600,Lounge,JP Nagar
Café Coffee Day - Marathahalli,Yes,No,4.6/5,3140,Shivajinagar,Sweet Shop,Street Food,250,Sweet Shop,Shivajinagar
Brahmin's Coffee Bar - JP Nagar,No,No,4.3/5,3513,Banashankari,Mess,South Indian,150,Mess,Banashankari
The Only Place - Jayanagar,Yes,Yes,4.0/5,4010,JP Nagar,Quick Bites,Gujarati,50,Quick Bites,JP Nagar
Nandhini Hotel - Yelahanka,Yes,No,2.7/5,2877,Electronic City,Mess,Rajasthani,100,Mess,Electronic City
Smoke House Deli - Banashankari,Yes,Yes,5.0/5,1400,KR Puram,Quick Bites,Rolls,300,Quick Bites,KR Puram
Social - BTM,No,No,3.7/5,1568,Indiranagar,Sweet Shop,Biryani,350,Sweet Shop,Indiranagar
Punjabi Dhaba - BTM,No,No,3.5/5,740,Indiranagar,Fine Dining,Cafe Food,1250,Fine Dining,Indiranagar
Chutney's - Jayanagar,No,No,3.4/5,699,BTM,Mess,Beverages,150,Mess,BTM
Third Wave Coffee - Basavanagudi,Yes,Yes,4.0/5,702,Banashankari,Dhaba,North Indian,350,Dhaba,Banashankari
Punjabi Dhaba - JP Nagar,No,No,3.9/5,4388,BTM,Delivery,Beverages,350,Delivery,BTM
Burger King - Indiranagar,Yes,Yes,4.3/5,955,Whitefield,Pub,Gujarati,200,Pub,Whitefield
Rajadhani - Electronic City,Yes,No,3.4/5,873,MG Road,Bakery,Biryani,200,Bakery,MG Road
Keventers - Jayanagar,Yes,No,3.7/5,2408,Bellandur,Pub,Mughlai,950,Pub,Bellandur
McDonald's - Jayanagar,No,No,4.7/5,4597,Rajajinagar,Mess,Biryani,100,Mess,Rajajinagar
Byg Brewski - KR Puram,Yes,No,4.0/5,3378,MG Road,Bar,Continental,850,Bar,MG Road
Kanti Sweets - Shivajinagar,No,No,3.6/5,1820,HSR Layout,Lounge,Fast Food,850,Lounge,HSR Layout
The Only Place - Basavanagudi,No,Yes,NEW,0,Bellandur,Bakery,Bengali,400,Bakery,Bellandur
Shivaji Military Hotel - Rajajinagar,Yes,No,4.1/5,4181,Sarjapur Road,Food Court,Desserts,250,Food Court,Sarjapur Road
Punjabi Dhaba - Banashankari,Yes,No,4.4/5,4391,Basavanagudi,Lounge,Burgers,350,Lounge,Basavanagudi
Dindigul Thalappakatti - Jayanagar,Yes,No,4.3/5,3242,Rajajinagar,Café,Fast Food,300,Café,Rajajinagar
Truffles - Bellandur,Yes,Yes,3.7/5,1379,Whitefield,Bar,Mughlai,300,Bar,Whitefield
Domino's Pizza - Koramangala,Yes,No,4.0/5,278,Banashankari,Lounge,South Indian,600,Lounge,Banashankari
Kanti Sweets - Rajajinagar,Yes,No,4.7/5,4347,Bellandur,Quick Bites,Burgers,50,Quick Bites,Bellandur
Social - Whitefield,No,No,4.2/5,1031,JP Nagar,Food Court,Biryani,300,Food Court,JP Nagar
Starbucks - Marathahalli,No,No,3.3/5,4681,KR Puram,Café,Continental,350,Café,KR Puram
Keventers - Banashankari,Yes,No,2.6/5,1343,Banashankari,Lounge,South Indian,800,Lounge,Banashankari
Wow Momo - Hebbal,Yes,Yes,4.0/5,604,Banashankari,Bakery,Rolls,350,Bakery,Banashankari
Corner House - Basavanagudi,Yes,Yes,4.2/5,2655,Whitefield,Café,Gujarati,350,Café,Whitefield
Empire Restaurant - Electronic City,No,No,3.2/5,591,HSR Layout,Mess,Desserts,50,Mess,HSR Layout
Empire Restaurant - Basavanagudi,No,No,3.7/5,3954,KR Puram,Bar,Rolls,850,Bar,KR Puram
Meghana Foods - Malleshwaram,Yes,No,3.7/5,11,Indiranagar,Delivery,Rajasthani,300,Delivery,Indiranagar
Sri Sairam Vegetarian - HSR Layout,Yes,No,3.9/5,121,Malleshwaram,Sweet Shop,Kerala,200,Sweet Shop,Malleshwaram
New Krishna Bhavan - Koramangala,No,No,3.4/5,4520,Bellandur,Dhaba,Kerala,200,Dhaba,Bellandur
KFC - Sarjapur Road,Yes,No,4.5/5,2276,Banashankari,Fine Dining,Cafe Food,600,Fine Dining,Banashankari
MTR - Banashankari,Yes,No,3.9/5,2644,Whitefield,Pub,Cafe Food,900,Pub,Whitefield
Empire Restaurant - Indiranagar,Yes,No,3.4/5,4073,HSR Layout,Beverage Shop,Biryani,150,Beverage Shop,HSR Layout
Blue Tokai - Whitefield,Yes,No,4.3/5,877,JP Nagar,Desserts,Beverages,250,Desserts,JP Nagar
Shivaji Military Hotel - Electronic City,Yes,No,3.2/5,785,Basavanagudi,Dhaba,Andhra,50,Dhaba,Basavanagudi
Kanti Sweets - Banashankari,No,Yes,4.3/5,2076,Yelahanka,Pub,Gujarati,700,Pub,Yelahanka
Brahmin's Coffee Bar - Hebbal,No,No,NEW,0,Basavanagudi,Pub,Continental,700,Pub,Basavanagudi
Toit - KR Puram,Yes,No,4.5/5,375,Bellandur,Casual Dining,Biryani,200,Casual Dining,Bellandur
Punjabi Dhaba - Bellandur,No,No,3.6/5,645,Sarjapur Road,Café,Rolls,200,Café,Sarjapur Road
Baskin-Robbins - Koramangala,Yes,No,3.6/5,3382,Whitefield,Sweet Shop,Street Food,250,Sweet Shop,Whitefield
New Krishna Bhavan - Electronic City,No,No,3.7/5,3511,Banashankari,Food Court,Chinese,350,Food Court,Banashankari
Third Wave Coffee - Bellandur,Yes,Yes,3.8/5,2740,Yelahanka,Lounge,Bengali,750,Lounge,Yelahanka
Social - Yelahanka,No,Yes,3.4/5,3528,MG Road,Pub,Gujarati,900,Pub,MG Road
Baskin-Robbins - Whitefield,No,No,NEW,0,HSR Layout,Food Court,Cafe Food,350,Food Court,HSR Layout
Empire Restaurant - JP Nagar,Yes,No,3.7/5,2023,Hebbal,Bar,Gujarati,900,Bar,Hebbal
Truffles - BTM,No,No,3.1/5,4566,Koramangala,Bar,Street Food,400,Bar,Koramangala
The Fatty Bao - Whitefield,No,Yes,4.0/5,1952,Shivajinagar,Beverage Shop,Cafe Food,150,Beverage Shop,Shivajinagar
Punjabi Dhaba - Rajajinagar,No,No,3.7/5,1045,Malleshwaram,Casual Dining,Italian,400,Casual Dining,Malleshwaram
Vidyarthi Bhavan - Marathahalli,Yes,No,3.7/5,2097,Marathahalli,Casual Dining,Desserts,200,Casual Dining,Marathahalli
Toit - Jayanagar,No,No,3.1/5,3822,JP Nagar,Pub,Rajasthani,1000,Pub,JP Nagar
Nandhini Hotel - KR Puram,No,No,3.1/5,4821,Hebbal,Café,Continental,250,Café,Hebbal
Meghana Foods - Koramangala,Yes,Yes,4.8/5,3866,BTM,Mess,Rajasthani,100,Mess,BTM
Cream Stone - Koramangala,No,No,3.4/5,3631,HSR Layout,Café,Continental,250,Café,HSR Layout
Social - Koramangala,Yes,No,4.2/5,2014,Electronic City,Delivery,Beverages,350,Delivery,Electronic City
Vasudev Adiga's - Indiranagar,Yes,No,3.9/5,2349,Electronic City,Pub,Kerala,600,Pub,Electronic City
Cream Stone - Banashankari,Yes,No,2.5/5,3398,Rajajinagar,Pub,Fast Food,600,Pub,Rajajinagar
Baskin-Robbins - Hebbal,Yes,Yes,4.7/5,383,Yelahanka,Café,Pizza,300,Café,Yelahanka
Kanti Sweets - Marathahalli,Yes,No,4.2/5,2585,MG Road,Casual Dining,Beverages,400,Casual Dining,MG Road
The Fatty Bao - Basavanagudi,Yes,No,3.5/5,702,Rajajinagar,Desserts,Burgers,150,Desserts,Rajajinagar
Third Wave Coffee - Whitefield,No,Yes,NEW,0,Malleshwaram,Mess,Fast Food,50,Mess,Malleshwaram
The Fatty Bao - Banashankari,Yes,No,3.3/5,318,Malleshwaram,Mess,Bengali,100,Mess,Malleshwaram
Smoke House Deli - Basavanagudi,Yes,No,4.8/5,20,HSR Layout,Café,Desserts,300,Café,HSR Layout
Shivaji Military Hotel - Malleshwaram,Yes,No,NEW,0,Koramangala,Bakery,Biryani,250,Bakery,Koramangala
Social - Sarjapur Road,Yes,No,3.6/5,591,Yelahanka,Lounge,Beverages,600,Lounge,Yelahanka
McDonald's - JP Nagar,No,No,3.3/5,4104,Indiranagar,Café,Fast Food,200,Café,Indiranagar
Subway - Bellandur,No,No,3.7/5,2196,Malleshwaram,Pub,Kerala,400,Pub,Malleshwaram
Domino's Pizza - MG Road,No,No,4.4/5,1460,Whitefield,Bar,Rolls,400,Bar,Whitefield
Punjabi Dhaba - Bellandur,Yes,No,4.7/5,2546,BTM,Casual Dining,Biryani,450,Casual Dining,BTM
Vidyarthi Bhavan - Indiranagar,Yes,Yes,3.7/5,1911,Malleshwaram,Sweet Shop,Biryani,250,Sweet Shop,Malleshwaram
Cream Stone - Electronic City,Yes,No,NEW,0,Jayanagar,Casual Dining,Cafe Food,250,Casual Dining,Jayanagar
Toit - Yelahanka,Yes,No,3.9/5,4392,Koramangala,Beverage Shop,North Indian,200,Beverage Shop,Koramangala
Burger King - JP Nagar,Yes,No,3.4/5,2565,Sarjapur Road,Fine Dining,Pizza,900,Fine Dining,Sarjapur Road
Hotel Suprabhatha - Indiranagar,No,No,4.9/5,1270,Malleshwaram,Pub,Burgers,1000,Pub,Malleshwaram
The Only Place - Bellandur,Yes,Yes,4.5/5,281,Whitefield,Mess,Rajasthani,200,Mess,Whitefield
Truffles - Jayanagar,No,Yes,3.8/5,2816,Yelahanka,Food Court,Burgers,400,Food Court,Yelahanka
Meghana Foods - Jayanagar,Yes,No,4.6/5,4352,Hebbal,Beverage Shop,Mughlai,200,Beverage Shop,Hebbal
Third Wave Coffee - Hebbal,Yes,No,4.5/5,1829,MG Road,Pub,Biryani,750,Pub,MG Road
Dindigul Thalappakatti - Bellandur,Yes,No,3.9/5,552,Bellandur,Café,Bengali,250,Café,Bellandur
Byg Brewski - Banashankari,Yes,Yes,4.0/5,3739,KR Puram,Lounge,Mughlai,450,Lounge,KR Puram
Hotel Suprabhatha - Basavanagudi,No,Yes,4.5/5,2964,JP Nagar,Bakery,Fast Food,100,Bakery,JP Nagar
McDonald's - Sarjapur Road,Yes,No,NEW,0,Bellandur,Pub,Beverages,700,Pub,Bellandur
Punjabi Dhaba - Electronic City,Yes,No,4.7/5,2924,Koramangala,Beverage Shop,Street Food,100,Beverage Shop,Koramangala
Third Wave Coffee - HSR Layout,No,No,3.6/5,2807,Jayanagar,Lounge,Cafe Food,850,Lounge,Jayanagar
Pizza Hut - Whitefield,Yes,No,4.6/5,2919,Whitefield,Desserts,North Indian,100,Desserts,Whitefield
The Fatty Bao - JP Nagar,Yes,No,3.8/5,3004,Bellandur,Bar,Cafe Food,650,Bar,Bellandur
Nandhini Hotel - Hebbal,Yes,No,4.0/5,1570,Banashankari,Pub,South Indian,500,Pub,Banashankari
Starbucks - Shivajinagar,Yes,No,3.8/5,2296,Electronic City,Pub,Cafe Food,350,Pub,Electronic City
Pizza Hut - Jayanagar,No,Yes,3.4/5,2336,JP Nagar,Bakery,Mughlai,200,Bakery,JP Nagar
New Krishna Bhavan - Jayanagar,No,No,3.6/5,2456,Sarjapur Road,Fine Dining,Italian,600,Fine Dining,Sarjapur Road
The Only Place - MG Road,No,Yes,4.4/5,4404,BTM,Desserts,Continental,200,Desserts,BTM
Café Coffee Day - Marathahalli,Yes,No,2.7/5,60,Marathahalli,Mess,Fast Food,100,Mess,Marathahalli
Vasudev Adiga's - Basavanagudi,Yes,Yes,3.2/5,3575,Malleshwaram,Mess,Chinese,50,Mess,Malleshwaram
Byg Brewski - HSR Layout,No,No,3.3/5,2828,Electronic City,Desserts,Pizza,150,Desserts,Electronic City
Third Wave Coffee - Whitefield,Yes,No,3.3/5,2574,Indiranagar,Bar,Andhra,50,Bar,Indiranagar
Social - JP Nagar,Yes,Yes,4.6/5,3382,Electronic City,Sweet Shop,Mughlai,150,Sweet Shop,Electronic City
Empire Restaurant - Malleshwaram,Yes,No,4.5/5,3764,Sarjapur Road,Bakery,Rolls,250,Bakery,Sarjapur Road
Absolute Barbecues - MG Road,Yes,No,4.1/5,2247,Banashankari,Dhaba,Kerala,150,Dhaba,Banashankari
Empire Restaurant - Bellandur,Yes,No,3.5/5,3424,Malleshwaram,Delivery,Chinese,250,Delivery,Malleshwaram
McDonald's - Malleshwaram,No,No,4.4/5,1098,Marathahalli,Café,Fast Food,400,Café,Marathahalli
Brahmin's Coffee Bar - MG Road,No,Yes,2.9/5,2803,Hebbal,Bakery,North Indian,350,Bakery,Hebbal
Social - KR Puram,Yes,Yes,4.9/5,3107,Koramangala,Mess,Continental,150,Mess,Koramangala
Toit - Yelahanka,Yes,No,3.5/5,197,Marathahalli,Lounge,North Indian,600,Lounge,Marathahalli
Café Coffee Day - Jayanagar,Yes,No,3.7/5,2091,Basavanagudi,Bakery,Biryani,200,Bakery,Basavanagudi
Smoke House Deli - Hebbal,No,No,3.5/5,2688,Marathahalli,Desserts,Biryani,150,Desserts,Marathahalli
Pizza Hut - Rajajinagar,Yes,No,3.3/5,1568,Banashankari,Desserts,Andhra,250,Desserts,Banashankari
Pizza Hut - Banashankari,No,No,4.7/5,870,MG Road,Sweet Shop,Rajasthani,200,Sweet Shop,MG Road
Truffles - Malleshwaram,Yes,No,4.2/5,509,Hebbal,Casual Dining,Pizza,300,Casual Dining,Hebbal
Kanti Sweets - Yelahanka,Yes,No,4.5/5,2463,Sarjapur Road,Casual Dining,South Indian,550,Casual Dining,Sarjapur Road
Byg Brewski - Koramangala,Yes,Yes,3.2/5,4033,Hebbal,Food Court,Bengali,200,Food Court,Hebbal
Rajadhani - Rajajinagar,No,No,3.8/5,2456,HSR Layout,Casual Dining,Desserts,300,Casual Dining,HSR Layout
Dindigul Thalappakatti - Electronic City,Yes,Yes,4.1/5,4391,Malleshwaram,Pub,Italian,700,Pub,Malleshwaram
Dindigul Thalappakatti - Hebbal,Yes,No,4.0/5,1888,Marathahalli,Pub,Gujarati,800,Pub,Marathahalli
Absolute Barbecues - Shivajinagar,Yes,Yes,3.3/5,2250,KR Puram,Dhaba,Continental,300,Dhaba,KR Puram
Kanti Sweets - Sarjapur Road,No,No,4.2/5,4671,Sarjapur Road,Food Court,Pizza,350,Food Court,Sarjapur Road
Keventers - Bellandur,No,Yes,3.8/5,984,Electronic City,Mess,Kerala,50,Mess,Electronic City
McDonald's - Rajajinagar,Yes,Yes,3.4/5,795,Koramangala,Lounge,Biryani,900,Lounge,Koramangala
Byg Brewski - Koramangala,No,No,2.8/5,847,Malleshwaram,Pub,Beverages,450,Pub,Malleshwaram
Corner House - Whitefield,Yes,No,4.2/5,1391,Rajajinagar,Sweet Shop,Street Food,150,Sweet Shop,Rajajinagar
Vidyarthi Bhavan - Whitefield,Yes,No,5.0/5,2993,Rajajinagar,Dhaba,Bengali,100,Dhaba,Rajajinagar
Truffles - Koramangala,Yes,No,3.3/5,4457,MG Road,Bakery,Bengali,250,Bakery,MG Road
Subway - MG Road,Yes,Yes,3.9/5,4571,HSR Layout,Casual Dining,Cafe Food,250,Casual Dining,HSR Layout
Corner House - Indiranagar,No,No,4.3/5,4399,BTM,Delivery,Pizza,300,Delivery,BTM
KFC - Whitefield,No,Yes,3.1/5,2232,Malleshwaram,Bar,Burgers,700,Bar,Malleshwaram
Kanti Sweets - JP Nagar,Yes,No,3.6/5,2312,Hebbal,Sweet Shop,Rajasthani,250,Sweet Shop,Hebbal
Baskin-Robbins - Hebbal,Yes,No,3.4/5,1437,Jayanagar,Fine Dining,Burgers,900,Fine Dining,Jayanagar
New Krishna Bhavan - Hebbal,No,Yes,4.2/5,401,HSR Layout,Delivery,Italian,250,Delivery,HSR Layout
Byg Brewski - JP Nagar,No,No,4.4/5,2220,Bellandur,Food Court,Cafe Food,200,Food Court,Bellandur
Kanti Sweets - Bellandur,Yes,No,3.9/5,877,Indiranagar,Quick Bites,Burgers,150,Quick Bites,Indiranagar
Hotel Suprabhatha - Marathahalli,No,No,3.3/5,3154,Jayanagar,Mess,Rolls,100,Mess,Jayanagar
Hotel Suprabhatha - Yelahanka,Yes,No,3.6/5,906,Banashankari,Bakery,Beverages,250,Bakery,Banashankari
Natural Ice Cream - Electronic City,Yes,No,3.5/5,4441,Jayanagar,Café,Burgers,250,Café,Jayanagar
Keventers - Electronic City,No,Yes,3.2/5,1095,KR Puram,Quick Bites,Biryani,250,Quick Bites,KR Puram
Meghana Foods - Whitefield,Yes,No,3.8/5,3522,Hebbal,Delivery,Beverages,500,Delivery,Hebbal
Absolute Barbecues - Sarjapur Road,Yes,No,4.1/5,1806,Bellandur,Food Court,Kerala,350,Food Court,Bellandur
Baskin-Robbins - Bellandur,Yes,No,4.1/5,1676,Rajajinagar,Lounge,Burgers,550,Lounge,Rajajinagar
Vasudev Adiga's - JP Nagar,No,No,NEW,0,HSR Layout,Mess,Rajasthani,150,Mess,HSR Layout
Barbeque Nation - Banashankari,No,No,3.7/5,1365,Yelahanka,Mess,Street Food,100,Mess,Yelahanka
The Only Place - Marathahalli,Yes,No,3.8/5,1409,Shivajinagar,Food Court,Gujarati,350,Food Court,Shivajinagar
Absolute Barbecues - Banashankari,Yes,No,3.2/5,2925,HSR Layout,Casual Dining,Pizza,450,Casual Dining,HSR Layout
Third Wave Coffee - HSR Layout,Yes,No,3.9/5,4257,Jayanagar,Dhaba,Chinese,200,Dhaba,Jayanagar
Meghana Foods - Bellandur,Yes,No,3.6/5,2063,Sarjapur Road,Beverage Shop,Continental,100,Beverage Shop,Sarjapur Road
Café Coffee Day - Banashankari,Yes,No,3.2/5,2790,Rajajinagar,Delivery,Fast Food,250,Delivery,Rajajinagar
Empire Restaurant - Marathahalli,No,No,3.9/5,245,Sarjapur Road,Fine Dining,South Indian,650,Fine Dining,Sarjapur Road
Cream Stone - Indiranagar,Yes,No,3.5/5,2602,Bellandur,Lounge,North Indian,600,Lounge,Bellandur
Barbeque Nation - BTM,Yes,No,4.0/5,3481,Shivajinagar,Dhaba,Biryani,50,Dhaba,Shivajinagar
Keventers - Yelahanka,Yes,No,4.3/5,1477,Koramangala,Bar,Mughlai,600,Bar,Koramangala
Blue Tokai - Basavanagudi,Yes,No,3.4/5,2497,Rajajinagar,Food Court,North Indian,500,Food Court,Rajajinagar
Meghana Foods - Bellandur,No,No,3.7/5,1480,BTM,Desserts,Bengali,50,Desserts,BTM
Corner House - Bellandur,Yes,No,2.9/5,1787,MG Road,Pub,Beverages,200,Pub,MG Road
Social - Koramangala,Yes,No,NEW,0,Sarjapur Road,Casual Dining,Pizza,400,Casual Dining,Sarjapur Road
Empire Restaurant - Basavanagudi,Yes,No,3.2/5,4211,Sarjapur Road,Food Court,Chinese,400,Food Court,Sarjapur Road
Sri Sairam Vegetarian - JP Nagar,Yes,No,3.6/5,2923,Hebbal,Pub,Cafe Food,400,Pub,Hebbal
McDonald's - Sarjapur Road,Yes,No,4.5/5,2561,Basavanagudi,Sweet Shop,Burgers,200,Sweet Shop,Basavanagudi
Barbeque Nation - HSR Layout,Yes,No,3.7/5,2946,JP Nagar,Desserts,Cafe Food,200,Desserts,JP Nagar
Byg Brewski - Whitefield,Yes,No,3.3/5,4108,Marathahalli,Lounge,Kerala,600,Lounge,Marathahalli
Vasudev Adiga's - Banashankari,Yes,Yes,4.2/5,2324,Koramangala,Fine Dining,Mughlai,900,Fine Dining,Koramangala
Starbucks - Bellandur,Yes,No,NEW,0,Banashankari,Casual Dining,Gujarati,250,Casual Dining,Banashankari
Brahmin's Coffee Bar - KR Puram,Yes,No,3.5/5,892,Yelahanka,Desserts,Mughlai,300,Desserts,Yelahanka
Cream Stone - Bellandur,No,No,3.4/5,4312,JP Nagar,Bar,Italian,200,Bar,JP Nagar
Cream Stone - Yelahanka,Yes,No,3.6/5,2796,MG Road,Mess,Burgers,100,Mess,MG Road
Third Wave Coffee - BTM,Yes,No,3.7/5,4389,BTM,Café,Bengali,300,Café,BTM
Brahmin's Coffee Bar - Electronic City,Yes,Yes,2.9/5,2815,Yelahanka,Café,Chinese,300,Café,Yelahanka
Chutney's - Sarjapur Road,Yes,No,3.8/5,4593,BTM,Quick Bites,Continental,150,Quick Bites,BTM
Keventers - Bellandur,No,Yes,4.6/5,976,Sarjapur Road,Casual Dining,Continental,500,Casual Dining,Sarjapur Road
Social - MG Road,Yes,No,3.4/5,749,Shivajinagar,Desserts,Bengali,150,Desserts,Shivajinagar
McDonald's - BTM,No,No,3.4/5,3555,HSR Layout,Mess,Rolls,50,Mess,HSR Layout
Smoke House Deli - Rajajinagar,Yes,No,3.3/5,3168,Bellandur,Food Court,Fast Food,250,Food Court,Bellandur
Vidyarthi Bhavan - HSR Layout,Yes,No,4.2/5,4799,Jayanagar,Delivery,North Indian,250,Delivery,Jayanagar
Brahmin's Coffee Bar - Bellandur,No,No,4.3/5,3015,Basavanagudi,Delivery,Continental,200,Delivery,Basavanagudi
Empire Restaurant - JP Nagar,Yes,No,4.4/5,3626,Rajajinagar,Delivery,Pizza,200,Delivery,Rajajinagar
Subway - Rajajinagar,Yes,Yes,NEW,0,Indiranagar,Bakery,North Indian,300,Bakery,Indiranagar
Nandhini Hotel - Jayanagar,Yes,No,4.1/5,3028,Banashankari,Desserts,Andhra,150,Desserts,Banashankari
Toit - Jayanagar,No,No,4.4/5,1011,Shivajinagar,Quick Bites,Gujarati,200,Quick Bites,Shivajinagar
Rajadhani - Whitefield,Yes,No,4.1/5,2135,Malleshwaram,Sweet Shop,Andhra,200,Sweet Shop,Malleshwaram
Kanti Sweets - KR Puram,No,Yes,3.9/5,1248,Rajajinagar,Casual Dining,Burgers,550,Casual Dining,Rajajinagar
Starbucks - Sarjapur Road,Yes,Yes,3.6/5,3207,MG Road,Casual Dining,Chinese,400,Casual Dining,MG Road
Absolute Barbecues - MG Road,No,Yes,3.8/5,762,BTM,Café,Andhra,400,Café,BTM
Brahmin's Coffee Bar - Banashankari,Yes,Yes,4.5/5,2971,Banashankari,Fine Dining,Beverages,600,Fine Dining,Banashankari
New Krishna Bhavan - Basavanagudi,No,No,3.9/5,722,Jayanagar,Café,Rolls,500,Café,Jayanagar
Shivaji Military Hotel - MG Road,Yes,Yes,3.2/5,1405,Banashankari,Food Court,North Indian,400,Food Court,Banashankari
Vasudev Adiga's - Jayanagar,No,No,3.5/5,438,Rajajinagar,Delivery,Gujarati,400,Delivery,Rajajinagar
MTR - Basavanagudi,Yes,No,4.5/5,314,Malleshwaram,Sweet Shop,Continental,200,Sweet Shop,Malleshwaram
McDonald's - Banashankari,Yes,No,4.0/5,2112,Koramangala,Bar,South Indian,500,Bar,Koramangala
Baskin-Robbins - Whitefield,Yes,No,3.9/5,4996,Bellandur,Quick Bites,Bengali,200,Quick Bites,Bellandur
Café Coffee Day - Malleshwaram,Yes,Yes,3.6/5,591,Sarjapur Road,Delivery,Rajasthani,250,Delivery,Sarjapur Road
Subway - Yelahanka,Yes,No,4.4/5,4740,Shivajinagar,Quick Bites,Burgers,200,Quick Bites,Shivajinagar
Sri Sairam Vegetarian - Whitefield,No,No,4.5/5,4290,Malleshwaram,Food Court,Rolls,250,Food Court,Malleshwaram
Meghana Foods - Bellandur,No,Yes,4.3/5,3670,Bellandur,Fine Dining,Beverages,800,Fine Dining,Bellandur
Smoke House Deli - Malleshwaram,Yes,No,4.6/5,1909,Banashankari,Sweet Shop,Beverages,200,Sweet Shop,Banashankari
Smoke House Deli - Sarjapur Road,No,No,3.5/5,4096,Yelahanka,Pub,Rolls,500,Pub,Yelahanka
Sri Sairam Vegetarian - Shivajinagar,Yes,No,3.6/5,4463,MG Road,Bar,Fast Food,550,Bar,MG Road
Burger King - Marathahalli,Yes,No,3.8/5,2423,Marathahalli,Sweet Shop,Biryani,300,Sweet Shop,Marathahalli
Vasudev Adiga's - Bellandur,No,No,3.7/5,3262,Rajajinagar,Desserts,Rajasthani,300,Desserts,Rajajinagar
